lga,state,event_name,agrn,cat_a,cat_b,cat_c,cat_d,severity,start_date,year
Gwydir,New South Wales,Narrabri and Gwydir (Bobbiwaa Creek) Bushfire: 12 February 2018 onwards,809,1,1,0,0,A/B,2018-02-12,2018
Gwydir,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Gwydir,New South Wales,AGRN 1053 - Gwydir and Narrabri NSW Bushfires (18 January 2023),1053,1,1,0,0,A/B,2023-01-18,2023
Gwydir,New South Wales,"AGRN 1054 - Gwydir, Moree Plains and Narrabri NSW Bushfires (1 March 2023)",1054,1,1,0,0,A/B,2023-03-01,2023
Gwydir,New South Wales,AGRN 1199 - NSW Narrabri and Gwydir Bushfire (27 January - 10 February 2025),1199,0,1,0,0,A/B,2025-01-27,2025
Hawkesbury,New South Wales,Eastern bushfires: from 13 October 2013,587,0,0,0,0,unknown,2013-10-13,2013
Hawkesbury,New South Wales,Western Sydney bushfires: from 10 September 2013,614,0,0,0,0,unknown,2013-09-10,2013
Hawkesbury,New South Wales,Hawkesbury Bushfires: 11 December 2015,703,0,0,0,0,unknown,2015-12-11,2015
Hawkesbury,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Hawkesbury,New South Wales,AGRN 1197 - Hawkesbury NSW Bushfires (5 - 16 January 2025),1197,0,1,0,0,A/B,2025-01-05,2025
Hay,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Hilltops,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Hilltops,New South Wales,Bushfire: 18 to 23 December 2012,566,0,0,0,0,unknown,2012-12-18,2012
Inverell,New South Wales,Northern NSW Bushfires: 11 February 2019 onwards,843,1,1,0,0,A/B,2019-02-11,2019
Inverell,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Inverell,New South Wales,AGRN 1075 - Far North NSW Bushfires (13 October 2023 onwards),1075,1,1,0,0,A/B,2023-10-13,2023
Inverell,New South Wales,AGRN 1114 - Inverell and Tenterfield NSW Bushfires (7-24 December 2023),1114,0,1,0,0,A/B,2023-12-07,2023
Junee,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Junee,New South Wales,Riverina/Southern Border bushfires: from 18 January 2014,611,0,0,0,0,unknown,2014-01-18,2014
Kempsey,New South Wales,Armidale bushfire: 20 October 2012,507,0,0,0,0,unknown,2012-10-20,2012
Kempsey,New South Wales,Kempsey bushfire: 21 to 26 August 2012,523,0,0,0,0,unknown,2012-08-21,2012
Kempsey,New South Wales,Bushfire: 6 to 10 December 2012,564,0,0,0,0,unknown,2012-12-06,2012
Kempsey,New South Wales,Mid North Coast bushfires: from 5 November 2013,617,0,0,0,0,unknown,2013-11-05,2013
Kempsey,New South Wales,Kempsey Bushfires: 05 November 2016,740,0,0,0,0,unknown,2016-11-05,2016
Kempsey,New South Wales,NSW State-wide Bushfires: from 11 February 2017,742,0,0,0,0,unknown,2017-02-11,2017
Kempsey,New South Wales,Kempsey Bushfire: 27 August 2017,771,1,1,0,0,A/B,2017-08-27,2017
Kempsey,New South Wales,Kempsey and Port Macquarie-Hastings Bushfire: 5 December 2017 onwards,802,1,1,0,0,A/B,2017-12-05,2017
Kempsey,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Kempsey,New South Wales,NSW North Coast Bushfires: Commencing 18 July 2019 onwards,880,1,1,0,0,A/B,2019-07-18,2019
Kempsey,New South Wales,AGRN 1071 - North Eastern NSW Bushfires (21 August 2023 onwards),1071,0,1,0,0,A/B,2023-08-21,2023
Kempsey,New South Wales,AGRN 1076 - Mid North NSW Bushfires (16 October 2023 onwards),1076,1,1,0,0,A/B,2023-10-16,2023
Kempsey,New South Wales,AGRN 1237 - Kempsey NSW Bushfire ( 6 - 9 October 2025),1237,0,1,0,0,A/B,2025-10-06,2025
Kiama,New South Wales,Kiama bushfire: 5 to 7 September 2012,531,0,0,0,0,unknown,2012-09-05,2012
Ku-ring-gai,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Kyogle,New South Wales,Bushfire: 7 to 13 October 2012,528,0,0,0,0,unknown,2012-10-07,2012
Kyogle,New South Wales,"NSW - Richmond Valley, Lismore and Kyogle bushfires (12 August 2018 onwards)",823,1,1,0,0,A/B,2018-08-12,2018
Kyogle,New South Wales,Northern NSW Bushfires: 11 February 2019 onwards,843,1,1,0,0,A/B,2019-02-11,2019
Kyogle,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Kyogle,New South Wales,NSW North Coast Bushfires: Commencing 18 July 2019 onwards,880,1,1,0,0,A/B,2019-07-18,2019
Kyogle,New South Wales,AGRN 1075 - Far North NSW Bushfires (13 October 2023 onwards),1075,1,1,0,0,A/B,2023-10-13,2023
Lachlan,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Lachlan,New South Wales,NSW bushfires: 23 November 2014,672,0,0,0,0,unknown,2014-11-23,2014
Lake Macquarie,New South Wales,Eastern bushfires: from 13 October 2013,587,0,0,0,0,unknown,2013-10-13,2013
Lake Macquarie,New South Wales,Eastern bushfires: from 16 October 2013,588,0,0,0,0,unknown,2013-10-16,2013
Lake Macquarie,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Lake Macquarie,New South Wales,AGRN 1133 - Lake Macquarie NSW Bushfire (1 - 18 October 2023),1133,0,1,0,0,A/B,2023-10-01,2023
Lake Macquarie,New South Wales,AGRN 1232 - NSW Lake Macquarie Bushfire (from 6 December 2025),1232,1,1,0,0,A/B,2025-12-06,2025
Leeton,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Lismore,New South Wales,"NSW - Richmond Valley, Lismore and Kyogle bushfires (12 August 2018 onwards)",823,1,1,0,0,A/B,2018-08-12,2018
Lismore,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Lithgow,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
